"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV462";"Eukaryota";"Ascomycota";"Dothideomycetes";"Botryosphaeriales";"Botryosphaeriaceae";"Diplodia"
"ASV463";"Eukaryota";"Ascomycota";"Leotiomycetes";"Erysiphales";"Erysiphaceae";"Golovinomyces"
"ASV464";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Hyaloscypha"
"ASV465";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Marinilactibacillus"
"ASV466";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Aurantimonadaceae";"Aurantimonas"
"ASV467";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Stereaceae";"Stereum"
"ASV468";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Oscillatoriaceae";"Plectonema"
"ASV469";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Rhizopogonaceae";"Rhizopogon"
"ASV470";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycetaceae";"Saccharomyces"
"ASV471";"Eukaryota";"Basidiomycota";"Microbotryomycetes";"Leucosporidiales";"Leucosporidiaceae";"Leucosporidium"
"ASV472";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Monascus"
"ASV473";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Synechococcales";"Synechococcaceae";"Synechococcus"
"ASV474";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Pichiaceae";"Pichia"
"ASV475";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Cytophagaceae";"Spirosoma"
"ASV476";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Spirulinales";"Spirulinaceae";"Spirulina"
"ASV477";"Eukaryota";"Zoopagomycota";"Dimargaritomycetes";"Dimargaritales";"Dimargaritaceae";"Dimargaris"
"ASV478";"Eukaryota";"Ascomycota";"Candelariomycetes";"Candelariales";"Pycnoraceae";"Pycnora"
"ASV479";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Vanrija"
"ASV480";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Pezizellaceae";"Calycina"
"ASV481";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Herbiconiux"
"ASV482";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"NA";"Trichothecium"
"ASV483";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreaceae";"Trichoderma"
"ASV484";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Hortaea"
"ASV485";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Frigoribacterium"
"ASV486";"Eukaryota";"Ascomycota";"Dothideomycetes";"Trypetheliales";"Trypetheliaceae";"Bogoriella"
"ASV487";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Phellopilus"
"ASV488";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Drepanopezizaceae";"Diplocarpon"
"ASV489";"Bacteria";"Actinomycetota";"Actinomycetes";"Propionibacteriales";"Propionibacteriaceae";"Cutibacterium"
"ASV490";"Eukaryota";"Ascomycota";"NA";"Vezdaeales";"Vezdaeaceae";"Vezdaea"
"ASV491";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Astraeaceae";"Astraeus"
"ASV492";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pezizaceae";"Peziza"
"ASV493";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Streptococcaceae";"Lactococcus"
"ASV494";"Eukaryota";"Zoopagomycota";"Entomophthoromycetes";"Entomophthorales";"Ancylistaceae";"Conidiobolus"
"ASV495";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Chlorociboriaceae";"Chlorociboria"
"ASV496";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Azospirillaceae";"Azospirillum"
"ASV497";"Eukaryota";"Ascomycota";"Dothideomycetes";"Dothideales";"Dothioraceae";"Delphinella"
"ASV498";"Eukaryota";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Coniochaetaceae";"Coniochaeta"
"ASV499";"Eukaryota";"Mucoromycota";"Endogonomycetes";"Endogonales";"Endogonaceae";"Jimgerdemannia"
"ASV500";"Eukaryota";"Ascomycota";"Leotiomycetes";"NA";"NA";"Xylogone"
"ASV501";"Eukaryota";"Ascomycota";"NA";"NA";"NA";"Sarcosagium"
"ASV502";"Bacteria";"Campylobacterota";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter"
"ASV503";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Cordyceps"
"ASV504";"Eukaryota";"NA";"Cryptophyceae";"Cryptomonadales";"Hemiselmidaceae";"Hemiselmis"
"ASV505";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Roseomonas"
"ASV506";"Eukaryota";"Ascomycota";"Dothideomycetes";"Venturiales";"Cylindrosympodiaceae";"Tothia"
"ASV507";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Mrakiaceae";"Phaffia"
"ASV508";"Eukaryota";"Zoopagomycota";"Kickxellomycetes";"Kickxellales";"Kickxellaceae";"Kickxella"
"ASV509";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Bartonellaceae";"Bartonella"
"ASV510";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Omphalotaceae";"Lentinula"
"ASV511";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Candidatus Endolissoclinum"
"ASV512";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Hypoxylaceae";"Hypoxylon"
"ASV513";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Naemateliaceae";"Naematelia"
"ASV514";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Thermochaetoides"
"ASV515";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Verrucomicrobiaceae";"Prosthecobacter"
"ASV516";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Spirosomaceae";"Fibrella"
"ASV517";"Eukaryota";"Bacillariophyta";"Fragilariophyceae";"Fragilariales";"Fragilariaceae";"Fragilaria"
"ASV518";"Bacteria";"Actinomycetota";"Actinomycetes";"Micromonosporales";"Micromonosporaceae";"Dactylosporangium"
"ASV519";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Sutterellaceae";"Sutterella"
"ASV520";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium"
"ASV521";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Amorphothecaceae";"Amorphotheca"
"ASV522";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella"
"ASV523";"Eukaryota";"Ascomycota";"Leotiomycetes";"NA";"Myxotrichaceae";"Oidiodendron"
"ASV524";"Bacteria";"Actinomycetota";"Actinomycetes";"Bifidobacteriales";"Bifidobacteriaceae";"Aeriscardovia"
"ASV525";"Eukaryota";"Evosea";"Eumycetozoa";"Dictyosteliales";"Raperosteliaceae";"Tieghemostelium"
"ASV526";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Botryotinia"
"ASV527";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria"
"ASV528";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Nemania"
"ASV529";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Ectobacillus"
"ASV530";"Eukaryota";"Ascomycota";"Leotiomycetes";"Leotiales";"Tympanidaceae";"Claussenomyces"
"ASV531";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Actinophytocola"
"ASV532";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Neohortaea"
"ASV533";"Eukaryota";"Ascomycota";"Sareomycetes";"Sareales";"Zythiaceae";"Sarea"
"ASV534";"Bacteria";"Abditibacteriota";"Abditibacteriia";"Abditibacteriales";"Abditibacteriaceae";"Abditibacterium"
"ASV535";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Geosmithia"
"ASV536";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"Lentithecium"
"ASV537";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Intrasporangiaceae";"Phycicoccus"
"ASV538";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Teratosphaeria"
"ASV539";"Eukaryota";"Fornicata";"NA";"NA";"NA";"Aduncisulcus"
"ASV540";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Ustilaginoidea"
"ASV541";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Coraliihabitans"
"ASV542";"Eukaryota";"Ascomycota";"Dothideomycetes";"Myriangiales";"Elsinoaceae";"Sphaceloma"
"ASV543";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Choanephoraceae";"Choanephora"
"ASV544";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"NA";"Monosporascus"
"ASV545";"Eukaryota";"Ascomycota";"Dothideomycetes";"NA";"Gloniaceae";"Glonium"
"ASV546";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Tricladiaceae";"Halenospora"
"ASV547";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Hamatocanthoscyphaceae";"Stipitochalara"
"ASV548";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Morchellaceae";"Morchella"
"ASV549";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Periconiaceae";"Periconia"
"ASV550";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Pichiaceae";"Ogataea"
"ASV551";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Claviceps"
"ASV552";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Didymosphaeria"
"ASV553";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Biscogniauxia"
"ASV554";"Eukaryota";"Basidiomycota";"Wallemiomycetes";"Wallemiales";"Wallemiaceae";"Wallemia"
"ASV555";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Cuniculitremaceae";"Kockovaella"
"ASV556";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Cortinariaceae";"Phlegmacium"
"ASV557";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Diatrypaceae";"Eutypa"
"ASV558";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Russulaceae";"Lactifluus"
"ASV559";"Eukaryota";"Ascomycota";"NA";"NA";"NA";"Trizodia"
"ASV560";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces"
"ASV561";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Stromatinia"
"ASV562";"Eukaryota";"Haptophyta";"NA";"Pavlovales";"Pavlovaceae";"Diacronema"
"ASV563";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Phycomycetaceae";"Spinellus"
"ASV564";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Bimuria"
"ASV565";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"NA";"Aaosphaeria"
"ASV566";"Eukaryota";"Ascomycota";"Dothideomycetes";"Aulographales";"Rhizodiscinaceae";"Rhizodiscina"
"ASV567";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Fulvia"
"ASV568";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Actinobacillus"
"ASV569";"Eukaryota";"Zoopagomycota";"Entomophthoromycetes";"Entomophthorales";"Entomophthoraceae";"Entomophthora"
"ASV570";"Eukaryota";"Foraminifera";"NA";"NA";"Reticulomyxidae";"Reticulomyxa"
"ASV571";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Sphaerulina"
"ASV572";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lindgomycetaceae";"Lindgomyces"
"ASV573";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Ajellomycetaceae";"Helicocarpus"
"ASV574";"Eukaryota";"Ascomycota";"Leotiomycetes";"Erysiphales";"Erysiphaceae";"Podosphaera"
"ASV575";"Eukaryota";"NA";"Choanoflagellata";"Craspedida";"Salpingoecidae";"Monosiga"
"ASV576";"Eukaryota";"Ascomycota";"Lichinomycetes";"Lichinales";"Lichinaceae";"Lichina"
"ASV577";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Teloschistales";"Letrouitiaceae";"Letrouitia"
"ASV578";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";"Acephala"
"ASV579";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Alteromonadales";"Alteromonadaceae";"Lacimicrobium"
"ASV580";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Meruliaceae";"Hermanssonia"
"ASV581";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Clavibacter"
"ASV582";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Ascosphaeraceae";"Ascosphaera"
"ASV583";"Eukaryota";"Basidiomycota";"Atractiellomycetes";"Atractiellales";"Hoehnelomycetaceae";"Atractiella"
"ASV584";"Eukaryota";"Ascomycota";"Dothideomycetes";"Cladosporiales";"Cladosporiaceae";"Cladosporium"
"ASV585";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Metarhizium"
"ASV586";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Variovorax"
"ASV587";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"NA";"Xylophilus"
"ASV588";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Cryobacterium"
"ASV589";"Eukaryota";"Zoopagomycota";"Zoopagomycetes";"Zoopagales";"Piptocephalidaceae";"Syncephalis"
"ASV590";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Apiotrichum"
"ASV591";"Eukaryota";"Ascomycota";"Sordariomycetes";"NA";"Thyridiaceae";"Thyridium"
"ASV592";"Eukaryota";"Ascomycota";"Dothideomycetes";"Botryosphaeriales";"Aplosporellaceae";"Aplosporella"
"ASV593";"Eukaryota";"Ascomycota";"Sordariomycetes";"Diaporthales";"Gnomoniaceae";"Gnomoniopsis"
"ASV594";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Trigonopsidaceae";"Tortispora"
"ASV595";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Cephalotrichum"
"ASV596";"Eukaryota";"Ascomycota";"Dothideomycetes";"Trypetheliales";"Trypetheliaceae";"Viridothelium"
"ASV597";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Pseudescherichia"
"ASV598";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Rhodofomes"
"ASV599";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Maricaulales";"Maricaulaceae";"Alkalicaulis"
"ASV600";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Xaviernesmea"
"ASV601";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Nitrosomonadales";"Nitrosomonadaceae";"Nitrosomonas"
"ASV602";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Micrococcaceae";"Micrococcus"
"ASV603";"Eukaryota";"NA";"Dinophyceae";"Amphidiniales";"Amphidiniaceae";"Amphidinium"
"ASV604";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Sordariaceae";"Sordaria"
"ASV605";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium"
"ASV606";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Ganoderma"
"ASV607";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Phialophora"
"ASV608";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Grifolaceae";"Grifola"
"ASV609";"Eukaryota";"Euglenozoa";"Kinetoplastea";"Trypanosomatida";"Trypanosomatidae";"Leishmania"
"ASV610";"Eukaryota";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Arthrobotrys"
"ASV611";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Dipodascaceae";"Galactomyces"
"ASV612";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Auriscalpiaceae";"Auriscalpium"
"ASV613";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Hypoxylaceae";"Daldinia"
"ASV614";"Eukaryota";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Orbilia"
"ASV615";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Trichophaea"
"ASV616";"Bacteria";"Chloroflexota";"Dehalococcoidia";"Dehalococcoidales";"Dehalococcoidaceae";"Dehalococcoides"
"ASV617";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Pseudochlorella"
"ASV618";"Eukaryota";"Ascomycota";"Sordariomycetes";"Diaporthales";"Valsaceae";"Valsa"
"ASV619";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Pterulaceae";"Pterula"
"ASV620";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Lecanorales";"Parmeliaceae";"Alectoria"
"ASV621";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Lecanorales";"Parmeliaceae";"Letharia"
"ASV622";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Pyrrhoderma"
"ASV623";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Auriscalpiaceae";"Artomyces"
"ASV624";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Decorospora"
"ASV625";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Setomelanomma"
"ASV626";"Eukaryota";"Ascomycota";"Sordariomycetes";"Ophiostomatales";"Ophiostomataceae";"Grosmannia"
"ASV627";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Staphylotrichum"
"ASV628";"Eukaryota";"Ascomycota";"Dothideomycetes";"Botryosphaeriales";"Saccharataceae";"Saccharata"
"ASV629";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Zasmidium"
"ASV630";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Ceraceosorales";"Ceraceosoraceae";"Ceraceosorus"
"ASV631";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pezizaceae";"Kalaharituber"
"ASV632";"Eukaryota";"Ascomycota";"Dothideomycetes";"Lineolatales";"Lineolataceae";"Lineolata"
"ASV633";"Eukaryota";"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiaceae";"Polychaeton"
"ASV634";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Tetraplosphaeriaceae";"Polyplosphaeria"
"ASV635";"Eukaryota";"Cercozoa";"Thecofilosea";"Cryomonadida";"Rhogostomidae";"Capsellina"
"ASV636";"Eukaryota";"Apicomplexa";"Conoidasida";"Eugregarinorida";"Porosporidae";"Porospora"
"ASV637";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Verticillium"
"ASV638";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Pseudooceanicola"
"ASV639";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Irpicaceae";"Cytidiella"
"ASV640";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Cucurbitariaceae";"Neocucurbitaria"
"ASV641";"Eukaryota";"Ascomycota";"Dothideomycetes";"Tubeufiales";"Tubeufiaceae";"Neochlamydotubeufia"
"ASV642";"Eukaryota";"Ascomycota";"Lecanoromycetes";"NA";"NA";"Piccolia"
"ASV643";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Cunninghamellaceae";"Chlamydoabsidia"
"ASV644";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Daedalea"
"ASV645";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Homoserinimonas"
"ASV646";"Eukaryota";"Ciliophora";"Spirotrichea";"Sporadotrichida";"Oxytrichidae";"Stylonychia"
"ASV647";"Eukaryota";"Ascomycota";"Neolectomycetes";"Neolectales";"Neolectaceae";"Neolecta"
"ASV648";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Sphaerosporella"
"ASV649";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Corynesporascaceae";"Corynespora"
"ASV650";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Sporocadaceae";"Truncatella"
"ASV651";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Lichtheimiaceae";"Lichtheimia"
"ASV652";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Capnocytophaga"
"ASV653";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"NA";"Paracoccidioides"
"ASV654";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Exserohilum"
"ASV655";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Pseudocercospora"
"ASV656";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Exobasidiales";"Cryptobasidiaceae";"Acaromyces"
"ASV657";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Coniferiporia"
"ASV658";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Pseudalkalibacillus"
"ASV659";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Hydrodictyaceae";"Pediastrum"
"ASV660";"Eukaryota";"Ascomycota";"Taphrinomycetes";"Taphrinales";"Taphrinaceae";"Taphrina"
"ASV661";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Auriculariales";"Exidiaceae";"Exidia"
"ASV662";"Eukaryota";"Tubulinea";"Elardia";"Euamoebida";"Amoebidae";"Amoeba"
"ASV663";"Eukaryota";"NA";"Bigyra";"Opalinata";"Blastocystidae";"Blastocystis"
"ASV664";"Eukaryota";"Evosea";"Eumycetozoa";"Dictyosteliales";"Dictyosteliaceae";"Polysphondylium"
"ASV665";"Eukaryota";"Basidiomycota";"Mixiomycetes";"Mixiales";"Mixiaceae";"Mixia"
"ASV666";"Eukaryota";"Ascomycota";"Leotiomycetes";"Erysiphales";"Erysiphaceae";"Blumeria"
"ASV667";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Fomes"
"ASV668";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Fistulinaceae";"Fistulina"
"ASV669";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Capronia"
"ASV670";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Melanommataceae";"Melanomma"
"ASV671";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Pyronema"
"ASV672";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Thyridariaceae";"Roussoella"
"ASV673";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Botryobasidiaceae";"Botryobasidium"
"ASV674";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleomassariaceae";"Pleomassaria"
"ASV675";"Eukaryota";"Chytridiomycota";"Monoblepharidomycetes";"Monoblepharidales";"Gonapodyaceae";"Gonapodya"
"ASV676";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Chytridiales";"Chytriomycetaceae";"Obelidium"
"ASV677";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Corticiales";"Punctulariaceae";"Punctularia"
"ASV678";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Auxenochlorella"
"ASV679";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Pseudomassariaceae";"Pseudomassariella"
"ASV680";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Microstromatales";"NA";"Pseudomicrostroma"
"ASV681";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Massilibacteroides"
"ASV682";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Flavipsychrobacter"
"ASV683";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"NA";"Pseudorivibacter"
"ASV684";"Eukaryota";"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Sclerophora"
"ASV685";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophlyctidales";"Borealophlyctidaceae";"Borealophlyctis"
"ASV686";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Tilletiales";"Tilletiaceae";"Tilletia"
"ASV687";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Diversisporales";"Acaulosporaceae";"Acaulospora"
"ASV688";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Agaricaceae";"Leucocoprinus"
"ASV689";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicilliopsis"
"ASV690";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Poronia"
"ASV691";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Chytridiales";"Chytriomycetaceae";"Physocladia"
"ASV692";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Caliciales";"Physciaceae";"Heterodermia"
